Frame 19: X=213, Y=58, Radius=8
Frame 19: X=213, Y=34, Radius=8
Frame 19: X=413, Y=46, Radius=21
Frame 19: X=156, Y=46, Radius=48
Frame 19: X=376, Y=37, Radius=29
Frame 19: X=338, Y=39, Radius=27
Frame 19: X=276, Y=39, Radius=27
Frame 19: X=82, Y=37, Radius=34
Frame 20: X=305, Y=57, Radius=8
Frame 20: X=213, Y=58, Radius=8
Frame 20: X=213, Y=34, Radius=8
Frame 20: X=156, Y=46, Radius=48
Frame 20: X=394, Y=39, Radius=39
Frame 20: X=336, Y=37, Radius=29
Frame 20: X=276, Y=39, Radius=27
Frame 20: X=82, Y=37, Radius=34
Frame 21: X=305, Y=57, Radius=8
Frame 21: X=213, Y=58, Radius=8
Frame 21: X=213, Y=34, Radius=8
Frame 21: X=156, Y=46, Radius=48
Frame 21: X=393, Y=39, Radius=40
Frame 21: X=336, Y=37, Radius=29
Frame 21: X=276, Y=39, Radius=27
Frame 21: X=82, Y=37, Radius=34
Frame 22: X=305, Y=57, Radius=8
Frame 22: X=213, Y=58, Radius=8
Frame 22: X=213, Y=34, Radius=8
Frame 22: X=413, Y=46, Radius=21
Frame 22: X=156, Y=46, Radius=48
Frame 22: X=356, Y=33, Radius=43
Frame 22: X=276, Y=39, Radius=27
Frame 22: X=82, Y=37, Radius=34
Frame 23: X=305, Y=57, Radius=8
Frame 23: X=213, Y=58, Radius=8
Frame 23: X=213, Y=34, Radius=8
Frame 23: X=156, Y=46, Radius=48
Frame 23: X=373, Y=41, Radius=58
Frame 23: X=276, Y=39, Radius=27
Frame 23: X=82, Y=37, Radius=34
Frame 24: X=305, Y=57, Radius=8
Frame 24: X=213, Y=58, Radius=8
Frame 24: X=213, Y=34, Radius=8
Frame 24: X=156, Y=46, Radius=48
Frame 24: X=373, Y=41, Radius=58
Frame 24: X=276, Y=39, Radius=27
Frame 24: X=82, Y=37, Radius=34
Frame 25: X=305, Y=57, Radius=8
Frame 25: X=213, Y=58, Radius=8
Frame 25: X=213, Y=34, Radius=8
Frame 25: X=413, Y=46, Radius=21
Frame 25: X=156, Y=46, Radius=48
Frame 25: X=376, Y=37, Radius=29
Frame 25: X=335, Y=39, Radius=28
Frame 25: X=276, Y=39, Radius=27
Frame 25: X=82, Y=37, Radius=34
Frame 26: X=305, Y=57, Radius=8
Frame 26: X=213, Y=58, Radius=8
Frame 26: X=213, Y=34, Radius=8
Frame 26: X=156, Y=46, Radius=48
Frame 26: X=373, Y=41, Radius=58
Frame 26: X=276, Y=39, Radius=27
Frame 26: X=82, Y=37, Radius=34
Frame 27: X=305, Y=57, Radius=8
Frame 27: X=213, Y=58, Radius=8
Frame 27: X=213, Y=34, Radius=8
Frame 27: X=156, Y=46, Radius=48
Frame 27: X=393, Y=39, Radius=40
Frame 27: X=334, Y=39, Radius=27
Frame 27: X=276, Y=39, Radius=27
Frame 27: X=82, Y=37, Radius=34
Frame 28: X=305, Y=57, Radius=8
Frame 28: X=213, Y=58, Radius=8
Frame 28: X=213, Y=34, Radius=8
Frame 28: X=413, Y=46, Radius=21
Frame 28: X=156, Y=46, Radius=48
Frame 28: X=376, Y=37, Radius=29
Frame 28: X=334, Y=39, Radius=27
Frame 28: X=276, Y=39, Radius=27
Frame 28: X=82, Y=37, Radius=34
Frame 29: X=305, Y=58, Radius=8
Frame 29: X=213, Y=58, Radius=8
Frame 29: X=213, Y=34, Radius=8
Frame 29: X=156, Y=46, Radius=48
Frame 29: X=373, Y=40, Radius=58
Frame 29: X=278, Y=38, Radius=26
Frame 29: X=82, Y=37, Radius=34
Frame 30: X=305, Y=58, Radius=8
Frame 30: X=213, Y=58, Radius=8
Frame 30: X=213, Y=34, Radius=8
Frame 30: X=156, Y=46, Radius=48
Frame 30: X=373, Y=40, Radius=58
Frame 30: X=278, Y=38, Radius=26
Frame 30: X=82, Y=37, Radius=34
Frame 31: X=305, Y=58, Radius=8
Frame 31: X=213, Y=58, Radius=8
Frame 31: X=213, Y=34, Radius=8
Frame 31: X=413, Y=46, Radius=21
Frame 31: X=156, Y=46, Radius=48
Frame 31: X=376, Y=37, Radius=29
Frame 31: X=336, Y=39, Radius=27
Frame 31: X=278, Y=38, Radius=26
Frame 31: X=82, Y=37, Radius=34
Frame 32: X=305, Y=58, Radius=8
Frame 32: X=213, Y=58, Radius=8
Frame 32: X=213, Y=34, Radius=8
Frame 32: X=156, Y=46, Radius=48
Frame 32: X=394, Y=39, Radius=39
Frame 32: X=338, Y=38, Radius=26
Frame 32: X=278, Y=38, Radius=26
Frame 32: X=82, Y=37, Radius=34
Frame 33: X=305, Y=58, Radius=8
Frame 33: X=213, Y=58, Radius=8
Frame 33: X=213, Y=34, Radius=8
Frame 33: X=156, Y=46, Radius=48
Frame 33: X=393, Y=39, Radius=40
Frame 33: X=338, Y=38, Radius=26
Frame 33: X=278, Y=38, Radius=26
Frame 33: X=82, Y=37, Radius=34
Frame 34: X=305, Y=58, Radius=8
Frame 34: X=213, Y=58, Radius=8
Frame 34: X=213, Y=34, Radius=8
Frame 34: X=413, Y=46, Radius=21
Frame 34: X=156, Y=46, Radius=48
Frame 34: X=376, Y=37, Radius=29
Frame 34: X=338, Y=38, Radius=26
Frame 34: X=278, Y=38, Radius=26
Frame 34: X=82, Y=37, Radius=34
Frame 35: X=306, Y=58, Radius=8
Frame 35: X=213, Y=58, Radius=8
Frame 35: X=213, Y=34, Radius=8
Frame 35: X=156, Y=46, Radius=48
Frame 35: X=394, Y=39, Radius=39
Frame 35: X=336, Y=40, Radius=29
Frame 35: X=278, Y=38, Radius=26
Frame 35: X=82, Y=37, Radius=34
Frame 36: X=306, Y=58, Radius=8
Frame 36: X=213, Y=58, Radius=8
Frame 36: X=213, Y=34, Radius=8
Frame 36: X=156, Y=46, Radius=48
Frame 36: X=393, Y=39, Radius=40
Frame 36: X=336, Y=40, Radius=29
Frame 36: X=278, Y=38, Radius=26
Frame 36: X=82, Y=37, Radius=34
Frame 37: X=306, Y=58, Radius=8
Frame 37: X=213, Y=58, Radius=8
Frame 37: X=213, Y=34, Radius=8
Frame 37: X=413, Y=46, Radius=21
Frame 37: X=156, Y=46, Radius=48
Frame 37: X=376, Y=37, Radius=29
Frame 37: X=336, Y=40, Radius=29
Frame 37: X=278, Y=38, Radius=26
Frame 37: X=82, Y=37, Radius=34
Frame 38: X=306, Y=58, Radius=8
Frame 38: X=213, Y=58, Radius=8
Frame 38: X=213, Y=34, Radius=8
Frame 38: X=156, Y=46, Radius=48
Frame 38: X=373, Y=40, Radius=58
Frame 38: X=278, Y=38, Radius=26
Frame 38: X=82, Y=37, Radius=34
Frame 39: X=306, Y=58, Radius=8
Frame 39: X=213, Y=58, Radius=8
Frame 39: X=213, Y=34, Radius=8
Frame 39: X=156, Y=46, Radius=48
Frame 39: X=373, Y=40, Radius=58
Frame 39: X=278, Y=38, Radius=26
Frame 39: X=82, Y=37, Radius=34
Frame 40: X=306, Y=58, Radius=8
Frame 40: X=213, Y=58, Radius=8
Frame 40: X=213, Y=34, Radius=8
Frame 40: X=413, Y=46, Radius=21
Frame 40: X=156, Y=46, Radius=48
Frame 40: X=376, Y=37, Radius=29
Frame 40: X=336, Y=38, Radius=29
Frame 40: X=278, Y=38, Radius=26
Frame 40: X=82, Y=37, Radius=34
Frame 41: X=306, Y=58, Radius=8
Frame 41: X=213, Y=58, Radius=8
Frame 41: X=213, Y=34, Radius=8
Frame 41: X=156, Y=46, Radius=48
Frame 41: X=373, Y=46, Radius=57
